code,iata,icao,lat,lon,elevation,name,city,region,country,continent
KOI,KOI,EGPA,58.958056,-2.900556,18,Kirkwall Airport,Kirkwall,Orkney,Scotland,Europe
PPW,PPW,EGEP,59.351667,-2.900278,28,Papa Westray Airport,Papa Westray,Orkney,Scotland,Europe
WRY,WRY,EGEW,59.350278,-2.95,9,Westray Airport,Aikerness,Orkney,Scotland,Europe
INV,INV,EGPE,57.5425,-4.0475,9,Inverness Airport,Inverness,Highland,Scotland,Europe
SHV,SHV,KSHV,32.446667,-93.825556,79,Shreveport Regional Airport,Shreveport,Louisiana,United States,North America
LIT,LIT,KLIT,34.729444,-92.224722,81,Clinton National Airport,Little Rock,Arkansas,United States,North America
CLL,CLL,KCLL,30.588611,-96.363889,98,Easterwood Airport,College Station,Texas,United States,North America
MHK,MHK,KMHK,39.141111,-96.671667,325,Manhattan Regional Airport,Manhattan,Kansas,United States,North America
CLT,CLT,KCLT,35.213889,-80.943056,228,Charlotte Douglas International Airport,Charlotte,North Carolina,United States,North America
ARN,ARN,ESSA,59.651944,17.918611,42,Arlanda Airport,Stockholm,Sigtuna,Sweden,Europe
BMA,BMA,ESSB,59.354444,17.939722,14,Bromma Airport,Stockholm,Stockholm,Sweden,Europe
MMX,MMX,ESMS,55.53,13.371389,72,Malmo Airport,Malmo,Svedala,Sweden,Europe
CPH,CPH,EKCH,55.618056,12.656111,5,Copenhagen Airport,Copenhagen,Kastrup,Denmark,Europe
MCI,MCI,KMCI,39.2975,-94.713889,313,Kansas City International Airport,Kansas City,Missouri,United States,North America
ELM,ELM,KELM,42.16,-76.891667,291,Elmira/Corning Regional Airport,Horseheads,New York,United States,North America
ITH,ITH,KITH,42.491389,-76.458611,335,Ithaca Tompkins Regional Airport,Ithaca,New York,United States,North America
AUH,AUH,OMAA,24.433056,54.651111,27,Abu Dhabi International Airport,Abu Dhabi,Abu Dhabi,United Arab Emirates,Asia
HKG,HKG,VHHH,22.308889,113.914444,9,Hong Kong International Airport,Hong Kong,Hong Kong,Hong Kong,Asia
CAN,CAN,ZGGG,23.3925,113.298889,15,Guangzhou Baiyun International Airport,Guangzhou,Guangdong,China,Asia
SHA,SHA,ZSSS,31.198056,121.336389,3,Shanghai Hongqiao International Airport,Shanghai,Shanghai,China,Asia
PVG,PVG,ZSPD,31.143333,121.805278,4,Shanghai Pudong International Airport,Shanghai,Shanghai,China,Asia
AMS,AMS,EHAM,52.308056,4.764167,-3,Amsterdam Airport Schiphol,Amsterdam,North Holland,Netherlands,Europe
BWI,BWI,KBWI,39.175278,-76.668333,45,Baltimore-Washington International Airport,Baltimore,Maryland,United States,North America
IPT,IPT,KIPT,41.241667,-76.921667,161,Williamsport Regional Airport,Williamsport,Pennsylvania,United States,North America
ROA,ROA,KROA,37.325556,-79.975556,358,Roanoke-Blacksburg Regional Airport,Roanoke,Virginia,United States,North America
HAM,HAM,EDDH,53.630278,9.991111,16,Hamburg Airport,Hamburg,Hamburg,Germany,Europe
DRO,DRO,KDRI,37.151389,-107.753889,2038,Durango-La Plata County Airport,Durango,Colorado,United States,North America
DAY,DAY,KDAY,39.902222,-84.219444,308,Dayton International Airport,Dayton,Ohio,United States,North America
HPN,HPN,KHPN,41.066944,-73.7075,134,Westchester County Airport,White Plains,New York,United States,North America
PIT,PIT,KPIT,40.491389,-80.232778,367,Pittsburgh International Airport,Pittsburgh,Pennsylvania,United States,North America
GRK,GRK,KGRK,31.067222,-97.828889,309,Killeen-Fort Hood Regional Airport,Killeen,Texas,United States,North America
FSM,FSM,KFSM,35.336667,-94.3675,143,Fort Smith Regional Airport,Fort Smith,Arkansas,United States,North America
VIE,VIE,LOWW,48.110278,16.569722,183,Vienna International Airport,Vienna,Lower Austria,Austria,Europe
BUD,BUD,LHBP,47.439444,19.261944,151,Budapest Franz Liszt International Airport,Budapest,Central Hungary,Hungary,Europe
ACT,ACT,KACT,31.611389,-97.230556,157,Waco Regional Airport,Waco,Texas,United States,North America
GRR,GRR,KGRR,42.880833,-85.522778,242,Gerald R. Ford International Airport,Grand Rapids,Michigan,United States,North America
PVD,PVD,KPVD,41.723889,-71.428333,17,T.F. Green Airport,Providence,Rhode Island,United States,North America
MVY,MVY,KMVY,41.393056,-70.614444,20,Martha's Vineyard Airport,Vineyard Haven,Massachusetts,United States,North America
HVN,HVN,KHVN,41.263889,-72.886667,4,Tweed New Haven Airport,New Haven,Connecticut,United States,North America
BLQ,BLQ,LIPE,44.535444,11.288667,37,Bologna Guglielmo Marconi Airport,Bologna,Emilia-Romagna,Italy,Europe
FLR,FLR,LIRQ,43.81,11.203889,40,Amerigo Vespucci Airport,Florence,Tuscany,Italy,Europe
PWM,PWM,KPWM,43.646111,-70.309167,23,Portland International Jetport,Portland,Maine,United States,North America
MSY,MSY,KMSY,29.993333,-90.258056,1,Louis Armstrong New Orleans International Airport,New Orleans,Louisiana,United States,North America
ACK,ACK,KACK,41.252889,-70.059,15,Nantucket Memorial Airport,Nantucket,Massachusetts,United States,North America
VCE,VCE,LIPZ,45.505278,12.351944,2,Venice Marco Polo Airport,Venice,Veneto,Italy,Europe
ICN,ICN,RKSI,37.463333,126.44,7,Incheon International Airport,Seoul,Seoul,South Korea,Asia
PEK,PEK,ZBAA,40.0725,116.5975,35,Beijing Capital International Airport,Beijing,Beijing,China,Asia
SBY,SBY,KSBY,38.34,-75.509444,16,Salisbury-Ocean City-Wicomico Regional Airport,Salisbury,Maryland,United States,North America
YUL,YUL,CYUL,45.470556,-73.740833,36,Montreal-Pierre Elliott Trudeau International Airport,Montreal,Quebec,Canada,North America
YTZ,YTZ,CYTZ,43.628333,-79.396111,77,Billy Bishop Toronto City Airport,Toronto,Ontario,Canada,North America
CXH,CXH,CYHC,49.294444,-123.111389,0,Vancouver Coal Harbour Seaplane Base,Vancouver,British Columbia,Canada,North America
ZNA,ZNA,,49.169167,-123.935278,0,Nanaimo Harbour Water Airport,Nanaimo,British Columbia,Canada,North America
YVR,YVR,CYVR,49.194722,-123.183889,4,Vancouver International Airport,Vancouver,British Columbia,Canada,North America
ALB,ALB,KALB,42.749167,-73.801944,87,Albany International Airport,Albany,New York,United States,North America
DTW,DTW,KDTW,42.2125,-83.3533333,197,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,United States,North America
RNN,RNN,EKRN,55.063333,14.759444,16,Bornholm Airport,Ronne,Hovedstaden,Denmark,Europe
IOM,IOM,EGNS,54.083333,-4.623333,16,Ronaldsway Airport,Castletown,Malew,Isle of Man,Europe
ORH,ORH,KORH,42.267222,-71.875833,308,Worcester Regional Airport,Worcester,Massachusetts,United States,North America
RUT,RUT,KRUT,43.53,-72.949722,240,Southern Vermont Regional Airport,Rutland,Vermont,United States,North America
BGO,BGO,ENBR,60.293611,5.218056,51,Bergen Airport Flesland,Bergen,Hordaland,Norway,Europe
FAE,FAE,EKVG,62.063611,-7.277222,85,Vagar Airport,Sorvagur,Vagar,Faroe Islands,Europe
LIN,LIN,LIML,45.449444,9.278333,108,Linate Airport,Milan,Lombardy,Italy,Europe
VRN,VRN,LIPX,45.396389,10.888056,73,Villafranca Airport,Verona,Veneto,Italy,Europe
AGP,AGP,LEMG,36.679487,-4.495781,16,Aeropuerto de Malaga Costa del Sol,Malaga,Andalusia,Spain,Europe
GIB,GIB,LXGB,36.151366,-5.346472,5,Gibraltar International Airport,Gibraltar,North District,Gibraltar,Europe
LIS,LIS,LPPT,38.774167,-9.134167,114,Humberto Delgado Airport,Lisbon,Lisbon,Portugal,Europe
EGE,EGE,KEGE,39.6425,-106.917778,1996,Eagle County Regional Airport,Vail,Colorado,United States,North America
GEG,GEG,KGEG,47.62,-117.533889,727,Spokane International Airport,Spokane,Washington,United States,North America
BIO,BIO,LEBB,43.301111,-2.910556,42,Bilbao Airport,Bilbao,Biscay,Spain,Europe
SPS,SPS,KSPS,33.988889,-98.491944,311,Wichita Falls Regional Airport,Wichita Falls,Texas,United States,North America
LAW,LAW,KLAW,34.567778,-98.416389,338,Lawton-Fort Sill Regional Airport,Lawton,Oklahoma,United States,North America
SBA,SBA,KSBA,34.426111,-119.840278,4,Santa Barbara Municipal Airport,Santa Barbara,California,United States,North America
LUX,LUX,ELLX,49.623333,6.204444,376,Luxembourg Airport,Luxembourg,Luxembourg City,Luxembourg,Europe
NNR,NNR,EICA,53.230556,-9.467778,21,Connemara Airport,Inverin,County Galway,Ireland,Europe
INQ,INQ,EIIR,53.064444,-9.511111,13,Inisheer Aerodrome,Inisheer,County Galway,Ireland,Europe
IOR,IOR,EIIM,53.106944,-9.653889,7,Inishmore Aerodrome,Kilronan,County Galway,Ireland,Europe
TLS,TLS,LFBO,43.635,1.367778,151,Toulouse-Blagnac Airport,Toulouse,Occitanie,France,Europe
TRD,TRD,ENVA,63.4575,10.924167,17,Trondheim Airport Værnes,Trondheim,Trondelag,Norway,Europe
